episode,reward,revenue
1,1631849.8429381733,1623156.1124287597
2,1348757.013403477,1433881.6458687058
3,104803.56634690729,1131271.0382562405
4,1327377.388448732,1405874.4437410014
5,1278498.999227739,1340214.634567912
6,1737095.0232694752,1705675.8026031286
7,1559396.9384929647,1557066.9999694054
8,1344676.8077783324,1399648.5875177323
9,1159251.9951961446,1535006.08550106
10,1301362.7529882437,1366707.0849782322
11,1048869.6375597992,1176720.8170722781
12,1450556.911522252,1513976.494933977
13,1676645.5527299924,1679849.711969015
14,1044124.4737913831,1526860.1833856236
15,-131248.74578091002,915498.6951536553
16,914782.8286591757,1086810.0794078514
17,1497623.1984179572,1496503.3897402375
18,1599454.7958686356,1588994.7933257888
19,1388498.11369042,1436927.2769781991
20,1565236.0285088997,1739486.3184467459
21,1571542.5842734834,1720615.5647296614
22,666419.2608872656,915903.2065933961
23,1833176.9498660031,1810835.900799207
24,1058885.4603463036,1454958.5219683086
25,1162324.0434838263,1250049.845722496
26,823540.0048252416,1416347.1813048965
27,937209.4935677344,1095287.4767836921
28,733144.8626521458,970102.5879238229
29,1453420.3987215692,1602735.0501066344
30,1285727.1442458108,1351257.9765126558
31,-495919.32159300207,799820.282406998
32,1267081.1142773181,1658167.1766438305
33,869159.6551962649,1047324.2487357721
34,1606737.3253074654,1608558.6437073548
35,993464.2376579155,1131694.4991174217
36,1854561.9337271412,1826644.0353687454
37,-31743.91028841748,976749.5890300834
38,-865969.8642248024,626387.6077751976
39,-209499.93229938508,954792.251700615
40,1744454.129986283,1752113.798513937
41,1125575.6470004297,1227214.1982497745
42,1236309.6850662197,1673606.5527919438
43,1370059.9629290262,1857579.1749290265
44,1591669.2430472022,1587198.534237482
45,1048332.75218765,1213439.6304285128
46,1068129.933150778,1211134.4206385238
47,1444976.3042567947,1477538.7666925562
48,-700464.5144134943,672836.6985865057
49,1238150.4457540046,1313043.6071325038
50,738357.5154892332,966210.3067912305
51,932387.2840551964,1103799.517149219
52,875039.4669401925,1049636.3937318842
53,1598849.2722526707,1603483.2931184154
54,799984.5803357719,1018347.7520446703
55,1533745.8004274908,1549706.4005705041
56,241600.39055981045,1213491.00417856
57,1564676.747544813,1616034.1386060033
58,904844.4134886285,1602946.5894886286
59,520386.9936966795,1241450.637374765
60,226782.6065526089,1084127.5223467725
61,1022045.4064439635,1160951.0699433663
62,-765142.176110584,685949.5818894159
63,439978.2517403263,778302.3961001838
64,145874.36019597552,1137321.3683770383
65,1381185.1318507558,1754025.335713021
66,1200415.979292545,1310159.9576598762
67,1587901.3701014898,1579588.8744954017
68,1310527.7817586153,1736422.486374051
69,1361330.8163328157,1410572.5940640573
70,1092123.7678468605,1392660.5271533453
71,591381.4761667822,1343294.8097445092
72,-302741.74202231586,877893.2459048106
73,980007.6073609585,1128766.9131296005
74,1531584.792133329,1558661.6794754788
75,1295602.633892365,1664585.8375873053
76,1624504.3760412368,1862744.3124544683
77,1145864.4395493504,1289811.2162214734
78,464916.91206188407,1239323.9814435674
79,-282208.95734556497,787519.4252928934
80,1787049.1926201489,1753393.6993438269
81,1489740.6316524353,1514169.2602374018
82,-133260.26935290417,969240.0744536958
83,822040.9965782956,1500110.4537190665
84,1361788.2670664869,1408268.697868896
85,1596068.8975767514,1587259.842672715
86,825849.8088143771,1381538.9537960684
87,546430.6103539874,836176.4518331442
88,1398822.733786612,1472377.3537294373
89,545589.9349127263,831010.6987881247
90,1426063.6261577478,1485218.0747105223
91,1188662.7632861005,1286117.1128375584
92,1748039.1879284433,1723647.0562258936
93,-543762.9204589608,753647.5983743726
94,1279599.7352632484,1351485.231595676
95,-97107.42911736481,966646.9799865907
96,1639363.6586937443,1637195.8371389569
97,565815.4023010066,1379739.2290640697
98,-686471.4743274626,688231.9716725374
99,1421668.5006306777,1439877.916358249
100,1570838.0542272078,1607125.520915621
101,1204211.2537201052,1400669.453580702
102,1899751.697292103,1861451.7606645897
103,713448.5672641358,957401.3175188171
104,966127.1224462974,1107756.0772587052
105,483395.2712992617,1283700.2357353806
106,931063.2406798635,1088318.835410025
107,1354170.2143203663,1569440.3230944232
108,1678634.6820275804,1656910.4250735214
109,1246345.0565814704,1420092.3989741015
110,1431370.1288370322,1468206.9246750514
111,937376.4994584272,1105396.5147626472
112,1160498.30835435,1266544.1134924795
113,1794235.49947126,1769217.1568703265
114,172872.41003795026,1124367.8182897568
115,14976.742557403864,1118581.808557404
116,-322353.28952026647,877023.3364797335
117,1273102.2529567815,1340139.02603297
